Time  E1  E2
7500000  -660.060721670804  655.778395026525
7600000  -667.516413184807  667.067729687584
7700000  -680.075316119105  676.59460753788
7800000  -690.771473732452  684.763323650773
7900000  -699.923210283852  697.312464898183
8000000  -710.168750042737  702.792353817567
8100000  -718.425481778348  712.976961136051
8200000  -726.114375251941  722.924922701112
8300000  -729.002448508635  730.758556169419
8400000  -742.351700392992  746.512015102919
8500000  -749.455612371004  750.582361376299
8600000  -761.544506502708  757.89485515592
8700000  -770.234253649669  768.252417948463
8800000  -783.77898679976  784.884551526858
8900000  -791.05676004879  791.544167718533
9000000  -803.46391764621  804.236898646617
9100000  -815.502957991696  813.617198426299
9200000  -820.223432150243  816.93173132017
9300000  -828.482291072549  826.610400709047
9400000  -835.928644226513  836.899625774198
9500000  -846.327608881275  846.552080338818
9600000  -854.642892343135  855.836943523352
9700000  -865.902810591472  864.597979463916
9800000  -875.555768224333  872.325031899699
9900000  -890.486179221972  887.625367084018
10000000  -898.396552063571  899.31741789711
10100000  -911.106026975557  910.234998084196
10200000  -917.394626880491  914.956695712919
10300000  -917.577315634396  918.17733002906
10400000  -930.068196071916  926.429318993377
10500000  -941.111518972932  935.621722004966
10600000  -947.577318326826  945.391274112457
10700000  -960.561964238599  958.900852478628
10800000  -970.748271468409  963.402612269839
10900000  -975.607555213793  972.639988270318
11000000  -984.705457350427  984.273986375977
11100000  -997.500400015472  997.227452924227
11200000  -1006.96246394916  1006.12692233486
11300000  -1014.12737362563  1018.10797925613
11400000  -1025.30184503134  1024.64100647371
11500000  -1037.12912097476  1034.05760427621
11600000  -1045.24605745294  1040.72532489073
11700000  -1059.61337777621  1056.42665487333
11800000  -1065.12859689733  1062.78427396879
11900000  -1075.08412969605  1076.20713820834
12000000  -1085.76083946387  1081.95654611531
12100000  -1092.31738470251  1095.51089070841
12200000  -1097.43878811594  1100.04197320597
12300000  -1111.72057917121  1108.86260856019
12400000  -1122.29044924527  1118.28007137023
12500000  -1132.43251970053  1128.50559019285
12600000  -1139.97488618407  1136.54138144101
12700000  -1147.51379358223  1147.27651660228
12800000  -1154.07256543312  1152.76719141932
12900000  -1162.89665576754  1164.06972393476
13000000  -1172.20351005941  1175.86587431266
13100000  -1181.48513557045  1179.96142290654
13200000  -1190.09933920098  1188.88027226702
13300000  -1195.01844316612  1193.30950586509
13400000  -1209.66301403198  1206.65826339313
13500000  -1215.27680448672  1216.58641666369
13600000  -1228.33137478946  1226.10701143243
13700000  -1238.78516336412  1237.77620585745
13800000  -1249.17080389368  1242.91691612902
13900000  -1255.19980097974  1255.16078957974
14000000  -1265.11905713634  1262.17643176834
14100000  -1277.86948479874  1275.33252125874
14200000  -1286.78969171833  1277.09956655382
14300000  -1294.58715648362  1291.21492243007
14400000  -1309.31658810521  1301.96344095341
14500000  -1316.47184395836  1310.97542260433
14600000  -1326.37367219242  1322.38417650859
14700000  -1332.90268826513  1332.50854832074
14800000  -1343.16987147906  1340.54769713102
14900000  -1350.73483381899  1346.84801533658
15000000  -1363.82320787802  1355.11253706354
15100000  -1369.28713645747  1366.79993719134
15200000  -1375.24741906101  1373.98491485364
15300000  -1385.40045689384  1379.94923818477
15400000  -1392.72263516897  1391.92987646479
15500000  -1403.00502949361  1402.04956731381
15600000  -1414.46174382689  1413.07125855907
15700000  -1423.50861847411  1424.16426364352
15800000  -1427.89191961042  1429.61400596179
15900000  -1435.01891645759  1437.1534457777
16000000  -1442.9043618027  1442.75477588307
16100000  -1450.61628570542  1452.23816333568
16200000  -1464.07363616294  1462.8674563303
16300000  -1471.90500834139  1470.81396705012
16400000  -1474.73297122515  1474.03236489427
16500000  -1479.39156124743  1479.29504014851
16600000  -1490.36021174006  1486.22568553091
16700000  -1500.01188294336  1493.36385990208
16800000  -1506.2430218506  1500.63556313738
16900000  -1517.01775244762  1516.41987647996
17000000  -1528.90005289131  1522.26292099162
17100000  -1535.3768608898  1536.22509345417
17200000  -1543.33537710668  1540.88697071786
17300000  -1546.76025536969  1547.82648426937
17400000  -1556.35915384889  1553.50509036709
17500000  -1568.67221916065  1564.53720875367
17600000  -1580.14007179404  1577.16846624475
17700000  -1596.56312480268  1586.70918142325
17800000  -1603.80573415005  1598.52644343258
17900000  -1611.394736328  1607.96802188008
18000000  -1620.25274442721  1618.36935451919
18100000  -1633.10357309091  1627.63775587535
18200000  -1637.20797242304  1640.40299965709
18300000  -1650.10852709875  1648.62798922969
18400000  -1666.91049494742  1657.65238639895
18500000  -1669.62140725562  1669.89806182931
18600000  -1677.18542305409  1680.88175935532
18700000  -1685.54402890918  1685.6881378777
18800000  -1695.7316346175  1697.41709782698
18900000  -1707.67120063612  1709.38968642197
19000000  -1714.70296479659  1718.14516660654
19100000  -1735.29114317343  1730.5954099812
19200000  -1744.2371736898  1739.52631845512
19300000  -1755.26209035875  1752.31619185855
19400000  -1770.24829111935  1766.53188141511
19500000  -1786.19400224211  1783.60616102026
19600000  -1792.503270784  1791.81860687109
19700000  -1803.14978528978  1801.79118184594
19800000  -1816.76541319571  1814.45366896845
19900000  -1819.06538990158  1824.02060091461
20000000  -1828.25866917103  1829.11966128888
