# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
722100 582.525 330.389 267.381 -28187.2
722200 584.24 331.652 268.168 -28188
722300 582.461 331.628 267.351 -28187.9
722400 581.849 333.532 267.07 -28188.4
722500 581.82 334.752 267.057 -28188.8
722600 581.203 334.334 266.774 -28188.5
722700 581.315 332.655 266.825 -28188.2
722800 581.961 331.011 267.122 -28188.1
722900 580.24 331.274 266.332 -28187.3
723000 583.17 332.27 267.677 -28188.4
723100 583.688 332.796 267.914 -28188.5
723200 582.948 331.936 267.575 -28188.2
723300 582.703 332.221 267.462 -28188.4
723400 580.353 333.493 266.383 -28187.9
723500 583.125 332.525 267.656 -28189.3
723600 580.887 333.224 266.629 -28188.4
723700 582.343 335.883 267.297 -28189.4
723800 579.481 334.141 265.984 -28188.2
723900 581.567 333.289 266.941 -28189.3
724000 581.526 336.186 266.922 -28189.5
724100 579.941 334.343 266.195 -28188.9
724200 580.1 333.8 266.268 -28188.8
724300 580.607 333.742 266.5 -28189
724400 580.125 334.57 266.279 -28188.7
724500 582.402 333.358 267.324 -28189.5
724600 580.719 334.611 266.551 -28189.1
724700 580.015 333.538 266.228 -28189.4
724800 579.123 335.868 265.819 -28189.9
724900 577.179 337.798 264.927 -28189.9
725000 577.555 336.501 265.099 -28190.1
725100 577.197 337.55 264.935 -28190.2
725200 577.171 335.948 264.923 -28190.5
725300 576.772 338.965 264.74 -28190.6
725400 577.384 337.616 265.021 -28191.1
725500 576.425 338.543 264.581 -28190.7
725600 576.424 338.062 264.58 -28190.7
725700 576.157 337.829 264.458 -28190.4
725800 577.824 337.017 265.223 -28190.9
725900 575.675 336.153 264.236 -28189.8
726000 577.462 338.065 265.057 -28190.4
726100 578.284 336.839 265.434 -28190.7
726200 577.91 336.275 265.262 -28190.5
726300 578.399 336.619 265.487 -28190.6
726400 576.356 337.353 264.549 -28189.9
726500 576.735 337.296 264.723 -28190.2
726600 577.392 336.066 265.024 -28190.3
726700 578.826 336.638 265.683 -28190.6
726800 577.813 336.603 265.218 -28190.2
726900 577.786 337.071 265.205 -28190.4
727000 576.252 337.215 264.501 -28189.6
727100 579.472 337.041 265.979 -28191
727200 577.282 336.606 264.974 -28190.5
727300 577.655 339.168 265.145 -28191.1
727400 575.207 337.164 264.021 -28190
727500 577.19 337.111 264.932 -28191
727600 576.521 337.943 264.625 -28190.6
727700 576.083 339.314 264.424 -28190.5
727800 577.381 338.597 265.019 -28191.4
727900 575.762 340.734 264.277 -28190.9
728000 576.934 337.729 264.814 -28191.3
728100 576.491 338.572 264.611 -28191
728200 577.136 339.067 264.907 -28191.4
728300 575.55 337.287 264.179 -28190.6
728400 577.343 339.046 265.002 -28191.4
728500 575.188 339.469 264.013 -28190.7
728600 576.041 339.487 264.404 -28191.2
728700 575.829 339.604 264.307 -28190.9
728800 576.618 338.177 264.669 -28190.8
728900 576.503 337.402 264.617 -28190.2
729000 579.308 338.67 265.904 -28191.4
729100 577.642 337.84 265.139 -28190.9
729200 578.672 339.207 265.612 -28191.5
729300 576.283 338.955 264.515 -28190.8
729400 575.659 339.505 264.229 -28191.1
729500 574.838 338.982 263.852 -28191.1
729600 575.966 340.011 264.37 -28192
729700 573.515 339.935 263.245 -28191.4
729800 574.05 341.801 263.491 -28191.9
729900 572.819 341.321 262.926 -28191.5
730000 574.629 340.094 263.756 -28192.3
730100 576.059 342.358 264.413 -28193
730200 572.219 342.018 262.65 -28191.5
730300 574.602 340.816 263.744 -28192.8
730400 572.272 344.073 262.675 -28192.5
730500 574.299 342.894 263.605 -28193.7
730600 571.293 340.921 262.225 -28192.5
730700 570.303 343.907 261.771 -28192.5
730800 572.021 344.231 262.559 -28193.3
730900 569.611 343.97 261.453 -28192.3
731000 574.12 341.397 263.523 -28193.9
731100 572.715 342.756 262.878 -28192.9
